MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Bibliographic_Level/Illustrations/Publication status	OpenNet	001229934	43972890		E			Department of Energy			E 1.2:OP 2/2/			0429-A (online)			199u	https://purl.fdlp.gov/GPO/gpo195907			https://www.osti.gov/opennet/		
Bibliographic_Level/Illustrations/Publication status	Publications library	001230222	1386258444		HS			Department of Homeland Security			HS 1.2:P 96/			0520-B (online)			20uu	https://purl.fdlp.gov/GPO/gpo195949			https://www.dhs.gov/publications		
Bibliographic_Level/Illustrations/Publication status	Find a park: plan your visit	001230553	1388219495		I			Department of the Interior			I 29.2:			0648 (online)			20uu	https://purl.fdlp.gov/GPO/gpo214098			https://www.nps.gov/findapark/index.htm		
Bibliographic_Level/Illustrations/Publication status	NOAA institutional repository	001233961	1097613542		C			Department of Commerce			C 55.2:N 21/6/			0250-E-02 (online)			20uu	https://purl.fdlp.gov/GPO/gpo215988			https://repository.library.noaa.gov/		
Bibliographic_Level/Illustrations/Publication status	Development experience clearinghouse	001247701	319054903	962902588	ID			United States Agency for International Development			ID 1.2:D 49/			0900-I (online)			20uu	https://purl.fdlp.gov/GPO/gpo218184			https://dec.usaid.gov/dec/home/Default.aspx		
Bibliographic_Level/Illustrations/Publication status	DOE PAGES: public access gateway for energy & science	001247934	1080642656		E			Department of Energy			E 1.2:EN 2/26/			0429-A (online)			2014-	https://purl.fdlp.gov/GPO/gpo218194			https://www.osti.gov/pages/		
Bibliographic_Level/Illustrations/Publication status	NSF public access repository (NSF-PAR): a partnership with the Department of Energy, Office of Scientific and Technical Information.	001248117	1400074759		NS			National Science Foundation			NS 1.2:P 96/5/			0834-C (online)			20uu	https://purl.fdlp.gov/GPO/gpo218195			https://par.nsf.gov/		
Bibliographic_Level/Illustrations/Publication status	PubAg	001248320	900968597		A			Department of Agriculture			A 17.2:P 96/2/			0095-A-01 (online)			20uu	https://purl.fdlp.gov/GPO/gpo218198			https://pubag.nal.usda.gov/		
Bibliographic_Level/Illustrations/Publication status	U.S. exports of textiles, apparel, footwear and travel goods	001248379	1401639721		C			Department of Commerce			C 61.50:			0231-B-38 (online)			20uu	https://purl.fdlp.gov/GPO/gpo218650			https://www.trade.gov/us-exports-textiles-and-apparel		
Bibliographic_Level/Illustrations/Publication status	Textile and apparel trade balance report / International Trade Administration	001248437	1401659408		C			Department of Commerce			C 61.51:			0231-B-39 (online)			20uu	https://purl.fdlp.gov/GPO/gpo218668			https://www.trade.gov/otexa-trade-balance-report		
Bibliographic_Level/Illustrations/Publication status	U.S. imports of textile, apparel, footwear, leather and travel goods	001248452	1401673903		C			Department of Commerce			C 61.52:			0231-B-40 (online)			20uu	https://purl.fdlp.gov/GPO/gpo218669			https://www.trade.gov/otexa-import-data		
